id	x	y
0	11.708568	-1.18579
1	21.834	0.009704224
2	15.366102	1.9954059
3	-16.907007	27.092958
4	-15.078353	-19.370955
5	-8.0902605	25.052732
6	26.863213	2.8402433
7	19.318365	16.345692
8	-8.472342	-38.918312
9	-36.531136	-20.880531
10	17.614449	21.128897
11	-22.114956	15.722385
12	-7.8710237	-22.043018
13	-4.4254827	-10.201788
14	6.3171544	-10.860426
15	9.954415	17.917387
16	2.903959	-11.9222
17	-22.41717	-17.755476
18	-43.85098	-2.9994004
19	-37.601833	-7.7577715
20	-11.418049	9.006699
21	-11.562698	-14.0753565
22	-12.074423	8.974411
23	-10.3317585	5.570845
24	-28.618294	-29.385809
25	-14.03317	-26.729132
26	-19.896261	-6.6930337
27	-26.492922	-36.14338
28	29.532728	-8.795839
29	22.145193	15.3434105
30	1.1914755	-35.815964
31	-20.325333	-6.6170535
32	-5.933746	-33.585026
33	-15.320124	-32.73144
34	-28.84429	-16.847939
35	-10.582345	21.766788
36	-14.603042	-21.54742
37	3.484426	-0.36923197
38	23.972147	-13.733297
39	9.173791	16.152811
40	2.86591	-20.194649
41	14.76256	17.76258
42	14.070852	37.659714
43	-11.062797	-10.821026
44	-15.791725	-23.71941
45	-22.239048	-3.340581
46	38.025833	33.697304
47	-2.4264975	-15.243073
48	18.02665	-37.236973
49	41.33833	3.812496
50	-0.47767064	1.2299237
51	25.510933	15.699264
52	-17.917591	-10.84991
53	-3.3614967	15.872037
54	-16.646757	-33.680405
55	-2.858648	20.774117
56	-5.437539	14.34332
57	-21.8095	-19.969563
58	-0.144877	16.903362
59	20.027817	24.639141
60	-20.948568	-21.19958
61	8.07178	7.359446
62	-17.57268	-31.291954
63	-34.15814	-3.7275765
64	-27.034298	-30.917356
65	28.546349	28.681765
66	17.289488	23.56211
67	26.558838	28.331385
68	0.055627313	-25.470001
69	33.53181	7.4842696
70	6.697721	14.801093
71	-3.0175178	34.342876
72	-27.046793	-22.9111
73	18.84452	14.358979
74	-25.488604	-10.451691
75	19.77545	-35.83505
76	1.2960223	14.218663
77	6.707432	-26.246271
78	28.546854	8.76278
79	1.115212	3.2025826
80	-43.252098	-12.454356
81	-36.130745	-23.626413
82	-23.404556	1.7410077
83	42.21367	26.922007
84	-22.301598	-23.564783
85	-25.09039	-20.617662
86	6.271868	-19.296219
87	14.935119	-8.996349
88	-27.020056	-20.67249
89	34.91014	25.153708
90	-38.40796	-17.516165
91	0.41357708	-24.872963
92	-32.158085	-1.2255205
93	30.362926	-20.513092
94	33.810066	24.801985
95	6.346004	46.371525
96	-32.520084	4.1155324
97	8.551477	-31.784092
98	-19.501474	-16.208702
99	4.6265817	-22.555328
100	3.6835515	-10.754744
101	4.8298345	-12.965549
102	44.54662	9.016398
103	4.736253	26.455511
104	12.941683	45.859074
105	4.6926494	-26.220966
106	-18.618446	-28.647537
107	29.515635	4.0375376
108	-20.184702	-26.029253
109	-12.829813	27.254354
110	8.307018	-13.390517
111	22.70043	-17.37711
112	-25.024063	-12.267695
113	2.0977323	2.2111483
114	6.699948	4.232771
115	-1.6038986	22.684456
116	-19.38669	-33.154335
117	-6.4608088	23.687893
118	-21.362427	-19.051651
119	37.107166	32.063614
120	3.61205	37.301025
121	-12.235643	15.435122
122	33.11863	-7.2170377
123	-10.989764	-45.440372
124	11.066686	13.886212
125	-6.4499083	18.011261
126	-6.8837395	-29.08732
127	14.38362	-14.150542
128	-3.8366861	13.891723
129	-28.729147	-4.3191814
130	15.449747	-33.32134
131	-14.837433	-8.863929
132	-24.645277	-21.808039
133	-13.460117	5.850308
134	-10.456634	-17.356983
135	-29.143759	-28.662313
136	13.353164	18.237207
137	16.270018	20.506178
138	5.993721	21.691406
139	10.680671	4.8751626
140	-38.20221	-11.368752
141	-10.837417	-7.0401845
142	-32.55824	-6.675303
143	37.748993	-21.26917
144	32.59399	19.665977
145	-17.214832	-9.709202
146	8.765962	11.896553
147	1.588966	7.5715213
148	-2.932212	17.865969
149	3.7876596	15.918024
150	-15.721957	21.946444
151	15.132057	-2.0892732
152	-15.8295555	-27.69827
153	8.453412	-3.2047353
154	-35.18404	-13.509135
155	-6.5593863	-15.108479
156	15.317949	37.96687
157	-1.5041187	-29.604513
158	-5.1425614	12.386536
159	15.310225	-12.432076
160	11.823359	11.771639
161	10.566111	12.52965
162	33.90248	-2.071911
163	13.744589	2.5513592
164	-7.6581955	13.384689
165	16.998741	13.17943
166	38.009438	32.758488
167	-16.382002	-22.066488
168	-16.007082	-6.2495317
169	-5.281088	7.866679
170	-7.5325336	41.950596
171	4.677121	-24.055038
172	-35.28086	-15.721636
173	19.05578	2.837921
174	6.360135	-11.505919
175	-25.806614	-17.940027
176	-12.277985	9.516439
177	25.695858	26.383308
178	-6.611006	4.785454
179	28.63919	-27.201693
180	20.28029	-10.616576
181	15.785735	23.137018
182	29.60841	-11.088885
183	-11.627238	-14.078288
184	11.712032	-8.230312
185	-24.268858	-29.798626
186	-11.745104	-45.409653
187	-12.538525	-34.389145
188	-21.322205	33.961487
189	-11.345012	0.53399855
190	-2.005904	-11.494274
191	-33.16072	-10.149054
192	3.5015743	3.2114823
193	19.212856	21.010109
194	14.94383	4.067655
195	11.657603	10.077173
196	7.240001	26.893988
197	-0.09959463	-19.214703
198	-16.49134	-37.78589
199	36.715157	10.780128
200	19.953583	19.469465
201	-0.65478975	30.830265
202	1.1114132	25.063686
203	-27.758385	-35.071327
204	-37.08036	23.65766
205	-43.122128	-3.5785275
206	-12.550607	-29.46496
207	-21.230255	-14.195801
208	-17.953136	20.413204
209	-23.098406	-18.081072
210	28.122938	-27.512518
211	-22.659874	-25.634466
212	34.99893	25.186312
213	-4.1826487	-40.7399
214	-11.41029	25.493689
215	14.673724	6.6122766
216	-36.00073	1.4625924
217	1.0043381	-8.373177
218	-7.567228	2.7696211
219	-13.583083	-2.4589303
220	22.131157	15.389079
221	-21.960426	-28.883106
222	18.634413	28.273628
223	-15.7007	-29.426605
